Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
43002;Lagny - Victor Basch;OUI;26;21;5;2;3;OUI;OUI;2024-06-15T12:48:36+02:00;48.84884147189881, 2.426325418925233;Vincennes;
14013;Liard - Amiral Mouchez;OUI;14;7;7;6;1;OUI;OUI;2024-06-15T12:51:36+02:00;48.8214169, 2.342167;Paris;
16138;Saint-Cloud - Hippodrome;OUI;30;30;0;0;0;OUI;OUI;2024-06-15T12:49:03+02:00;48.85772148887421, 2.2549109905958176;Paris;
13118;Regnault - Patay;OUI;63;5;57;51;6;OUI;OUI;2024-06-15T12:47:35+02:00;48.82435782216384, 2.377065159380436;Paris;
22207;Rond-point du Dr Albert Schweitzer;OUI;22;15;7;1;6;OUI;OUI;2024-06-15T12:47:23+02:00;48.78980918988166, 2.3143940046429634;Bagneux;
15112;Vigée-Lebrun - Anselme Payen;OUI;24;18;5;1;4;OUI;OUI;2024-06-15T12:50:59+02:00;48.838683941628375, 2.3110422492027287;Paris;
31708;Noisy le Sec - Jean-Baptiste Clément;OUI;22;22;0;0;0;NON;NON;2024-06-15T12:49:28+02:00;48.87451538963655, 2.415283620357514;Bagnolet;
18111;Félix Ziem - Armand Gauthier;OUI;25;24;0;0;0;OUI;OUI;2024-06-15T12:51:45+02:00;48.88949630486821, 2.333393658804396;Paris;
13030;Italie - Tolbiac;OUI;21;13;7;1;6;OUI;OUI;2024-06-15T12:52:02+02:00;48.82557229464416, 2.3576171323657036;Paris;
9002;Abbeville - Faubourg Poissonnière;OUI;14;12;2;1;1;OUI;OUI;2024-06-15T12:52:07+02:00;48.879223, 2.349147;Paris;
19027;Serrurier;OUI;18;18;0;0;0;OUI;OUI;2024-06-15T12:51:49+02:00;48.8804934032465, 2.39806417375803;Paris;
48003;Youri Gagarine - Karl Marx;OUI;22;19;3;0;3;OUI;OUI;2024-06-15T12:50:35+02:00;48.78448485079149, 2.35908430069685;Villejuif;
31028;Raspail Barbès;OUI;28;18;9;6;3;OUI;OUI;2024-06-15T12:52:04+02:00;48.8529945, 2.4247387;Montreuil;
16110;Octave Feuillet - Albéric Magnard;OUI;21;19;2;0;2;OUI;OUI;2024-06-15T12:50:39+02:00;48.86106902949534, 2.2730283066630363;Paris;
16118;Michel-Ange - Parent de Rosan;OUI;26;23;2;1;1;OUI;OUI;2024-06-15T12:42:50+02:00;48.840579923690115, 2.2584119439125065;Paris;
9014;Faubourg Montmartre - La Fayette;OUI;35;15;19;13;6;OUI;OUI;2024-06-15T12:51:47+02:00;48.87525454905335, 2.340853661298752;Paris;
2017;Caire - Dussoubs;OUI;40;28;11;7;4;OUI;OUI;2024-06-15T12:50:23+02:00;48.86785342111862, 2.349364310503006;Paris;
8053;Place Georges Guillaumin;OUI;29;25;4;3;1;OUI;OUI;2024-06-15T12:49:08+02:00;48.874750203956566, 2.301771435325988;Paris;
43009;Place Jean-Spire-Lemaître;OUI;50;39;11;7;4;OUI;OUI;2024-06-15T12:49:46+02:00;48.8468428626593, 2.452062070369721;Vincennes;
17032;Jean Oestreicher - Porte de Champerret;OUI;21;18;3;1;2;OUI;OUI;2024-06-15T12:52:00+02:00;48.88655580065981, 2.288640439510346;Paris;
9001;Bellefond - Poissonnière;OUI;17;14;2;0;2;OUI;OUI;2024-06-15T12:52:05+02:00;48.87759897050706, 2.348463758826256;Paris;
8016;Square Louis XVI;OUI;29;20;8;5;3;OUI;OUI;2024-06-15T12:49:42+02:00;48.87320440102894, 2.323658830743138;Paris;
5005;Gay Lussac - Saint-Jacques;OUI;24;22;1;0;1;OUI;OUI;2024-06-15T12:50:11+02:00;48.844730256132095, 2.341923944866407;Paris;
10115;Granges aux Belles;OUI;27;24;2;1;1;OUI;OUI;2024-06-15T12:51:50+02:00;48.8761373390584, 2.3680844979417;Paris;
10161;Gare de l'Est - Faubourg-Saint-Martin;OUI;32;2;29;16;13;OUI;OUI;2024-06-15T12:52:14+02:00;48.875642647477, 2.3594588041306;Paris;
10029;Dunkerque - Rocroy;OUI;24;10;11;8;3;OUI;OUI;2024-06-15T12:51:53+02:00;48.880726, 2.351464;Paris;
41303;Gare de Nogent-le-Perreux;OUI;32;11;20;8;12;OUI;OUI;2024-06-15T12:50:58+02:00;48.83842553348809, 2.493693307042122;Nogent-sur-Marne;
7011;Las Cases - Bourgogne;OUI;22;21;1;0;1;OUI;OUI;2024-06-15T12:50:01+02:00;48.859091104741, 2.3185685276985;Paris;
12031;Gabriel Lamé;OUI;36;0;35;31;4;OUI;OUI;2024-06-15T12:50:19+02:00;48.8351212784276, 2.385534569621086;Paris;
5022;Boulangers - Cardinal Lemoine;OUI;20;8;12;4;8;OUI;OUI;2024-06-15T12:51:36+02:00;48.8462904, 2.3521495;Paris;
17040;Pereire - Ternes;OUI;48;45;3;1;2;OUI;OUI;2024-06-15T12:52:17+02:00;48.87973954830735, 2.288012132048607;Paris;
9106;Boudreau - Auber;OUI;14;1;13;6;7;OUI;OUI;2024-06-15T12:51:01+02:00;48.87219, 2.329423;Paris;
8009;Gare Saint-Lazare - Isly;OUI;27;3;24;22;2;OUI;OUI;2024-06-15T12:48:18+02:00;48.874777677621296, 2.326515804784655;Paris;
21328;Verger - Colonel Guichard;OUI;29;20;9;1;8;OUI;OUI;2024-06-15T12:50:55+02:00;48.816376985087, 2.2670380088932;Issy-les-Moulineaux;
1001;Quai de l'Horloge - Pont Neuf;OUI;17;0;15;10;5;OUI;OUI;2024-06-15T12:51:31+02:00;48.857058739111, 2.3417982839439;Paris;
21323;Charlot - Stade Gabriel Voisin;OUI;31;1;30;22;8;OUI;OUI;2024-06-15T12:52:02+02:00;48.827228120536, 2.268122527474;Issy-les-Moulineaux;
7018;Ségur - d'Estrées;OUI;19;9;10;8;2;OUI;OUI;2024-06-15T12:49:48+02:00;48.851419978983, 2.3097044974566;Paris;
13104;Gare d'Austerlitz - Quai Saint-Bernard;OUI;27;27;0;0;0;NON;NON;2022-01-18T22:07:57+01:00;48.84369030864, 2.3657163977623;Paris;
6001;Institut de France;OUI;17;1;15;6;9;OUI;OUI;2024-06-15T12:50:00+02:00;48.857615678565, 2.3358313530377;Paris;
9038;Douai - Bruxelles;OUI;27;22;3;0;3;OUI;OUI;2024-06-15T12:51:34+02:00;48.88320784122797, 2.3308449949028507;Paris;
19105;Ambroise Rendu - Porte Brunet;OUI;17;9;7;2;5;OUI;OUI;2024-06-15T12:48:12+02:00;48.883667, 2.395733;Paris;
31103;Gare Rosny-Bois-Perrier;OUI;36;28;7;3;4;OUI;OUI;2024-06-15T12:46:10+02:00;48.88115023337061, 2.480436824262142;Rosny-sous-Bois;
31706;Château - République;OUI;26;16;10;3;7;OUI;OUI;2024-06-15T12:50:09+02:00;48.862923800596, 2.4155035614967;Bagnolet;
